ID,Age,AgeCategory,Education,MaritalStatus,Income,IncomeCategory,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalSpending,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp6,AcceptedCampaign,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,TotalTransactions
1966,60,Elderly/Lansia (60+),PhD,Married,84618.0,>70K,0,0,96,684,100,801,21,66,0,1672,0,0,0,0,1,0,Yes,1,6,9,10,26
6864,36,Adult/Dewasa (29-44),Master,Divorced,10979.0,<50K,0,0,34,8,4,10,2,2,4,30,0,0,0,0,0,0,No,2,3,0,3,8
3033,62,Elderly/Lansia (60+),Master,Together,38620.0,<50K,0,0,56,112,17,44,34,22,89,318,0,0,0,0,0,0,No,1,2,5,3,11
5710,55,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,40548.0,<50K,0,1,31,110,0,5,2,0,3,120,0,0,0,1,0,0,Yes,2,2,1,4,9
7373,73,Elderly/Lansia (60+),PhD,Divorced,46610.0,<50K,0,2,8,96,12,96,33,22,43,302,0,0,0,0,0,1,Yes,6,4,1,6,17
8755,79,Elderly/Lansia (60+),Master,Married,68657.0,50K-70K,0,0,4,482,34,471,119,68,22,1196,0,0,0,0,0,0,No,1,3,5,9,18
10738,74,Elderly/Lansia (60+),Master,Single with Child,49389.0,<50K,1,1,55,40,0,19,2,1,3,65,0,0,0,0,0,0,No,1,2,0,3,6
4339,55,Middle-age/Paruh baya (45-59),PhD,Married,67353.0,50K-70K,0,1,37,702,17,151,0,8,35,913,0,0,0,0,0,0,No,5,5,6,12,28
10755,49,Middle-age/Paruh baya (45-59),Master,Married,23718.0,<50K,1,0,76,6,3,14,15,7,36,81,0,0,0,0,0,0,No,3,3,1,2,9
8595,52,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Widow,42429.0,<50K,0,1,99,55,0,6,2,0,4,67,0,0,0,0,0,0,No,2,1,1,3,7
2968,82,Elderly/Lansia (60+),PhD,Divorced,48948.0,<50K,0,0,53,437,8,206,160,49,42,902,0,0,1,0,0,1,Yes,2,7,10,5,24
8601,45,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,80011.0,>70K,0,1,3,421,76,536,82,178,102,1395,0,0,0,0,0,0,No,2,8,6,5,21
503,40,Adult/Dewasa (29-44),Master,Married,20559.0,<50K,1,0,88,13,1,29,3,0,7,53,0,0,0,0,0,0,No,2,2,0,3,7
8430,68,Elderly/Lansia (60+),Bachelor/Diploma,Together,21994.0,<50K,0,1,4,9,0,6,3,1,3,22,0,0,0,0,0,0,No,1,0,0,3,4
7281,66,Elderly/Lansia (60+),PhD,Single,55185.0,50K-70K,0,0,80,81,11,50,3,2,39,186,0,0,0,0,0,0,No,1,1,3,4,9
2139,50,Middle-age/Paruh baya (45-59),Master,Married,7500.0,<50K,1,0,19,3,1,10,3,2,12,31,0,0,0,0,0,0,No,3,2,0,3,8
1371,49,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Single,79941.0,>70K,0,0,72,123,164,266,227,30,174,984,0,0,0,0,0,0,No,1,2,4,9,16
9909,29,Adult/Dewasa (29-44),Master,Married,7500.0,<50K,0,0,24,3,18,14,15,22,50,122,0,0,0,0,0,1,Yes,3,3,1,3,10
7286,57,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,41728.0,<50K,1,0,92,13,6,15,3,5,13,55,0,0,0,0,0,0,No,1,2,0,2,5
7244,74,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,51983.0,50K-70K,2,1,96,48,5,48,6,10,7,124,0,0,0,0,0,0,No,3,2,1,4,10
6566,71,Elderly/Lansia (60+),PhD,Married,72550.0,>70K,1,1,39,826,50,317,50,38,38,1319,0,0,0,0,0,0,No,9,5,2,12,28
8614,68,Elderly/Lansia (60+),Bachelor/Diploma,Widow,65486.0,50K-70K,0,1,29,245,19,125,37,67,14,507,0,0,0,0,0,0,No,1,4,2,10,17
4114,61,Elderly/Lansia (60+),Master,Married,79143.0,>70K,0,0,2,650,37,780,27,167,32,1693,0,0,0,0,0,0,No,1,6,9,13,29
1331,48,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Single with Child,35790.0,<50K,1,0,54,12,6,20,30,1,3,72,0,0,0,0,0,0,No,2,2,0,3,7
2225,48,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Divorced,82582.0,>70K,0,0,54,510,120,550,156,40,241,1617,1,0,1,0,0,1,Yes,1,4,9,7,21
9381,47,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,66373.0,50K-70K,1,1,57,328,9,124,12,24,109,606,0,0,0,0,0,0,No,7,4,2,10,23
6260,70,Elderly/Lansia (60+),Master,Together,82384.0,>70K,0,0,55,984,51,432,180,120,190,1957,0,0,0,0,1,1,Yes,1,3,10,13,27
10383,59,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Divorced,70287.0,>70K,0,0,30,295,35,482,121,120,40,1093,0,0,0,0,0,1,Yes,1,5,5,10,21
7437,37,Adult/Dewasa (29-44),Bachelor/Diploma,Single with Child,27938.0,<50K,1,0,31,13,0,8,2,1,5,29,0,0,0,0,0,0,No,1,1,0,4,6
8557,43,Adult/Dewasa (29-44),Bachelor/Diploma,Single with Child,51983.0,50K-70K,1,0,57,11,3,22,2,2,6,46,0,0,0,0,0,0,No,2,2,0,3,7
8375,57,Middle-age/Paruh baya (45-59),PhD,Married,55954.0,50K-70K,0,1,63,447,0,28,0,0,43,518,0,0,0,0,0,0,No,3,8,2,6,19
6853,43,Adult/Dewasa (29-44),Master,Single,75777.0,>70K,0,0,12,712,26,538,69,13,80,1438,0,0,0,1,1,1,Yes,1,3,6,11,21
3076,50,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,66653.0,50K-70K,1,1,18,452,18,102,16,18,6,612,0,0,0,0,0,0,No,4,4,2,12,22
1012,73,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,61823.0,50K-70K,0,1,26,523,7,134,37,14,169,884,0,0,0,0,0,0,No,4,8,2,10,24
6518,74,Elderly/Lansia (60+),PhD,Widow,67680.0,50K-70K,0,1,8,546,0,48,0,6,6,606,0,0,0,0,0,0,No,1,7,3,8,19
4137,77,Elderly/Lansia (60+),Bachelor/Diploma,Together,70666.0,>70K,0,0,29,398,40,367,119,122,30,1076,0,0,0,0,0,0,No,1,7,4,4,16
8082,54,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,25721.0,<50K,1,0,75,1,3,6,3,6,15,34,0,0,0,0,0,1,Yes,1,1,1,2,5
1386,58,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,32474.0,<50K,1,1,0,10,0,1,0,0,0,11,0,0,0,0,0,0,No,1,1,0,2,4
9369,46,Middle-age/Paruh baya (45-59),Master,Single with Child,88194.0,>70K,0,1,19,688,14,309,201,24,38,1274,1,0,1,0,0,1,Yes,1,11,10,10,32
4477,67,Elderly/Lansia (60+),Bachelor/Diploma,Together,69096.0,50K-70K,0,1,4,247,49,159,7,82,109,653,0,0,0,0,0,0,No,1,5,2,10,18
1357,55,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,74854.0,>70K,1,2,90,856,59,487,58,29,73,1562,0,0,0,0,0,0,No,7,2,5,5,19
1402,71,Elderly/Lansia (60+),Master,Married,66991.0,50K-70K,0,0,1,496,36,460,189,60,12,1253,0,0,0,0,0,0,No,3,4,8,6,21
10629,52,Middle-age/Paruh baya (45-59),Master,Married,49605.0,<50K,1,0,25,25,3,43,17,4,17,109,0,0,0,0,0,0,No,3,3,0,3,9
6312,66,Elderly/Lansia (60+),Bachelor/Diploma,Married,65031.0,50K-70K,0,1,29,258,107,291,84,37,86,863,0,0,0,0,0,0,No,4,10,3,13,30
8132,50,Middle-age/Paruh baya (45-59),PhD,Married,60631.0,50K-70K,1,1,88,565,6,65,0,6,19,661,0,0,0,1,0,0,Yes,5,9,2,8,24
1050,73,Elderly/Lansia (60+),Bachelor/Diploma,Married,28332.0,<50K,0,0,58,14,10,13,4,15,9,65,0,0,0,0,0,0,No,1,2,1,4,8
5846,48,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Divorced,40246.0,<50K,1,0,68,2,1,6,2,1,1,13,0,0,0,0,0,0,No,1,1,0,2,4
1859,53,Middle-age/Paruh baya (45-59),Master,Married,75251.0,>70K,0,0,34,721,111,925,97,18,18,1890,0,0,0,0,0,1,Yes,1,7,6,5,19
7503,49,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Single,75825.0,>70K,0,0,40,1032,105,779,137,105,51,2209,0,0,1,0,0,1,Yes,0,5,8,9,22
10401,49,Middle-age/Paruh baya (45-59),Master,Together,26326.0,<50K,0,0,12,1,0,5,0,3,9,18,0,0,0,0,0,0,No,1,0,0,3,4
1618,60,Elderly/Lansia (60+),Bachelor/Diploma,Together,56046.0,50K-70K,0,0,9,577,0,64,0,0,51,692,0,0,1,0,0,1,Yes,2,10,1,8,21
3332,40,Adult/Dewasa (29-44),Bachelor/Diploma,Single with Child,29760.0,<50K,1,0,87,64,4,68,7,5,17,165,0,0,0,0,0,0,No,4,3,1,4,12
2261,56,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,26304.0,<50K,1,0,5,4,1,5,2,0,4,16,0,0,0,0,0,0,No,1,1,0,2,4
5346,52,Middle-age/Paruh baya (45-59),Master,Married,23559.0,<50K,1,0,87,25,5,19,7,0,23,79,0,0,0,0,0,0,No,3,3,0,3,9
4119,62,Elderly/Lansia (60+),Master,Together,38620.0,<50K,0,0,56,112,17,44,34,22,89,318,0,0,0,0,0,0,No,1,2,5,3,11
535,38,Adult/Dewasa (29-44),Bachelor/Diploma,Divorced,81361.0,>70K,0,0,18,163,23,424,27,65,76,778,0,0,0,0,0,0,No,1,3,10,13,27
5268,65,Elderly/Lansia (60+),Bachelor/Diploma,Married,29440.0,<50K,1,1,95,17,8,14,10,4,3,56,0,0,0,0,0,0,No,2,1,0,4,7
273,55,Middle-age/Paruh baya (45-59),Master,Married,36138.0,<50K,1,1,48,130,0,16,0,0,5,151,0,0,0,1,0,0,Yes,5,3,1,4,13
4452,68,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,50388.0,50K-70K,0,1,3,292,6,37,0,3,34,372,1,0,0,1,0,1,Yes,4,6,1,6,17
8504,52,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,79593.0,>70K,0,0,70,350,60,568,110,133,145,1366,0,0,0,0,1,0,Yes,1,5,6,7,19
771,58,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,54178.0,50K-70K,0,1,79,135,9,39,4,0,7,194,0,0,0,0,0,0,No,1,2,2,5,10
8996,68,Elderly/Lansia (60+),PhD,Married,55185.0,50K-70K,2,1,4,230,42,192,49,37,53,603,0,0,0,0,0,0,No,12,7,2,8,29
9235,68,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,51983.0,50K-70K,1,1,45,7,0,8,2,0,1,18,0,0,0,0,0,0,No,1,1,0,2,4
5798,52,Middle-age/Paruh baya (45-59),Master,Together,49605.0,<50K,0,0,87,445,37,359,98,28,18,985,0,0,0,0,0,0,No,1,2,4,8,15
11178,53,Middle-age/Paruh baya (45-59),Master,Single with Child,42394.0,<50K,1,0,69,15,2,10,0,1,4,32,0,0,0,0,0,0,No,1,1,0,3,5
2230,55,Middle-age/Paruh baya (45-59),PhD,Married,23626.0,<50K,1,0,84,27,2,14,0,0,0,43,0,0,0,0,0,0,No,3,3,1,3,10
7516,42,Adult/Dewasa (29-44),Bachelor/Diploma,Married,30096.0,<50K,1,0,30,5,3,11,12,5,9,45,0,0,0,0,0,0,No,1,2,0,3,6
7247,65,Elderly/Lansia (60+),Bachelor/Diploma,Widow,47916.0,<50K,0,1,72,505,0,26,0,0,75,606,0,0,0,1,0,0,Yes,5,7,4,6,22
11100,53,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Divorced,51813.0,50K-70K,1,1,37,51,2,7,0,1,2,63,0,0,0,0,0,0,No,2,2,0,3,7
4646,74,Elderly/Lansia (60+),Master,Married,78497.0,>70K,0,0,44,207,26,447,75,0,223,978,1,0,0,0,0,0,Yes,1,5,7,12,25
3037,42,Adult/Dewasa (29-44),PhD,Married,50150.0,50K-70K,0,0,32,135,46,92,65,61,11,410,0,0,0,0,0,0,No,2,5,2,7,16
1473,65,Elderly/Lansia (60+),Master,Single with Child,47823.0,<50K,0,1,0,53,1,5,2,1,10,72,0,0,0,0,0,0,No,2,2,0,3,7
1016,66,Elderly/Lansia (60+),PhD,Single with Child,34554.0,<50K,0,1,43,41,1,6,2,0,5,55,0,0,0,0,0,0,No,2,2,0,3,7
4518,46,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,85693.0,>70K,0,1,59,386,172,183,185,132,111,1169,0,0,0,0,0,0,No,2,9,5,11,27
9370,80,Elderly/Lansia (60+),PhD,Married,65846.0,50K-70K,0,0,68,562,81,276,80,40,81,1120,0,0,0,0,0,0,No,1,6,3,6,16
8908,66,Elderly/Lansia (60+),Bachelor/Diploma,Married,87195.0,>70K,0,0,35,217,76,690,50,26,38,1097,0,0,0,0,0,1,Yes,1,3,11,5,20
8373,46,Middle-age/Paruh baya (45-59),HighSchool,Together,24594.0,<50K,1,0,94,1,3,6,10,0,9,29,0,0,0,0,0,0,No,1,1,0,3,5
7533,61,Elderly/Lansia (60+),Bachelor/Diploma,Married,49096.0,<50K,1,1,15,144,1,32,2,1,7,187,0,0,0,0,0,0,No,4,4,1,4,13
2683,56,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,52413.0,50K-70K,0,2,56,295,106,271,75,98,65,910,0,0,0,0,0,0,No,4,6,4,12,26
3629,47,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Single with Child,38557.0,<50K,1,0,17,76,3,31,4,4,27,145,0,0,0,0,0,0,No,2,3,1,3,9
10991,65,Elderly/Lansia (60+),Master,Married,89058.0,>70K,0,0,18,454,194,106,31,22,43,850,0,0,0,0,0,0,No,1,5,4,4,14
5077,46,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,77298.0,>70K,0,1,46,425,115,292,23,35,79,969,0,0,0,0,0,0,No,1,6,6,11,24
7431,34,Adult/Dewasa (29-44),PhD,Single,68126.0,50K-70K,0,0,40,1332,17,311,23,51,86,1820,0,0,0,1,0,1,Yes,1,7,4,5,17
3267,62,Elderly/Lansia (60+),Master,Together,57288.0,50K-70K,0,1,27,527,0,21,0,0,60,608,0,0,0,1,0,0,Yes,3,8,1,8,20
999,34,Adult/Dewasa (29-44),Bachelor/Diploma,Single,86037.0,>70K,0,0,95,490,44,125,29,20,22,730,0,0,0,1,1,1,Yes,1,6,7,11,25
9215,45,Middle-age/Paruh baya (45-59),PhD,Married,43974.0,<50K,1,0,19,378,0,101,0,0,72,551,0,0,0,0,0,0,No,5,6,4,6,21
2286,63,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,50785.0,50K-70K,1,1,27,64,1,21,0,1,27,114,0,0,0,0,0,0,No,2,2,1,3,8
1592,55,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,90765.0,>70K,0,0,25,547,99,812,151,82,33,1724,1,0,0,0,1,0,Yes,0,4,6,5,15
367,47,Middle-age/Paruh baya (45-59),Master,Married,36550.0,<50K,1,0,74,47,90,94,123,103,120,577,0,0,0,0,0,0,No,5,9,1,5,20
5234,58,Middle-age/Paruh baya (45-59),Master,Together,30753.0,<50K,1,1,85,12,5,25,0,9,30,81,0,0,0,0,0,0,No,2,1,1,3,7
9862,56,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,21918.0,<50K,1,0,37,1,6,7,11,5,3,33,0,0,0,0,0,0,No,2,2,0,3,7
9805,72,Elderly/Lansia (60+),Master,Together,56129.0,50K-70K,0,1,65,320,48,133,39,72,48,660,0,0,0,0,0,0,No,4,6,2,10,22
6205,58,Middle-age/Paruh baya (45-59),Master,Single with Child,32557.0,<50K,1,0,13,34,3,29,0,4,10,80,0,0,0,0,0,1,Yes,3,2,1,3,9
8442,40,Adult/Dewasa (29-44),Master,Married,19510.0,<50K,2,0,63,9,0,7,3,4,7,30,0,0,0,0,0,0,No,2,1,0,3,6
7386,49,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Divorced,30992.0,<50K,1,0,83,17,0,14,7,3,2,43,0,0,0,0,0,0,No,1,1,0,3,5
7215,42,Adult/Dewasa (29-44),Bachelor/Diploma,Single,101970.0,>70K,0,0,69,722,27,102,44,72,168,1135,1,0,0,1,1,1,Yes,0,6,8,13,27
1491,60,Elderly/Lansia (60+),Master,Together,71488.0,>70K,0,0,87,162,33,124,40,28,172,559,0,0,0,0,0,0,No,2,3,4,7,16
11071,41,Adult/Dewasa (29-44),Bachelor/Diploma,Single,79607.0,>70K,0,0,37,450,133,951,173,0,216,1923,0,0,0,0,0,1,Yes,1,3,6,6,16
3381,72,Elderly/Lansia (60+),Master,Married,54348.0,50K-70K,1,1,51,70,0,16,0,0,4,90,0,0,0,0,0,0,No,2,2,0,4,8
8268,64,Elderly/Lansia (60+),PhD,Married,55185.0,50K-70K,0,1,23,352,0,27,10,0,15,404,0,0,0,0,0,0,No,3,6,1,7,17
11051,69,Elderly/Lansia (60+),PhD,Together,77376.0,>70K,1,1,72,492,19,110,16,12,12,661,0,0,0,0,0,0,No,4,6,3,10,23
8026,73,Elderly/Lansia (60+),Bachelor/Diploma,Married,62998.0,50K-70K,0,1,10,120,58,73,65,89,58,463,0,0,0,0,0,0,No,5,5,4,5,19
433,67,Elderly/Lansia (60+),Master,Single with Child,61331.0,50K-70K,1,1,42,534,5,47,0,5,41,632,0,0,0,0,0,0,No,5,11,1,6,23
9597,56,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,73448.0,>70K,0,0,10,236,106,189,23,41,130,725,0,0,0,0,0,0,No,1,7,2,9,19
1295,62,Elderly/Lansia (60+),Bachelor/Diploma,Married,51983.0,50K-70K,0,1,96,231,65,196,38,71,124,725,0,0,0,0,0,0,No,1,6,5,7,19
5290,61,Elderly/Lansia (60+),PhD,Married,41551.0,<50K,1,1,51,220,0,33,3,0,23,279,0,0,0,0,0,0,No,5,5,1,5,16
1685,58,Middle-age/Paruh baya (45-59),PhD,Together,62981.0,50K-70K,0,0,21,796,14,590,38,44,0,1482,0,0,0,1,0,0,Yes,1,4,5,13,23
5342,49,Middle-age/Paruh baya (45-59),HighSchool,Divorced,9548.0,<50K,1,0,31,0,1,3,10,6,9,29,0,0,0,0,0,0,No,2,1,0,3,6
9579,66,Elderly/Lansia (60+),PhD,Married,33762.0,<50K,2,1,61,53,1,34,2,0,16,106,0,0,0,0,0,0,No,3,2,2,2,9
7660,52,Middle-age/Paruh baya (45-59),PhD,Single with Child,35860.0,<50K,1,1,37,15,0,8,4,2,20,49,0,0,1,0,0,1,Yes,2,1,1,2,6
1461,60,Elderly/Lansia (60+),PhD,Divorced,36921.0,<50K,1,1,74,17,1,12,3,1,4,38,0,0,0,0,0,0,No,2,2,0,3,7
821,33,Adult/Dewasa (29-44),Master,Single,92859.0,>70K,0,0,46,962,61,921,52,61,20,2077,0,0,0,0,0,0,No,1,5,4,12,22
11084,49,Middle-age/Paruh baya (45-59),Master,Together,65104.0,50K-70K,0,1,4,738,0,232,13,20,50,1053,0,0,0,0,0,1,Yes,2,3,5,7,17
8690,63,Elderly/Lansia (60+),Bachelor/Diploma,Married,86111.0,>70K,0,0,73,399,28,756,36,40,126,1385,0,0,0,0,0,0,No,1,5,7,10,23
2937,51,Middle-age/Paruh baya (45-59),PhD,Single with Child,68352.0,50K-70K,0,1,47,614,16,132,43,33,33,871,0,0,0,0,0,0,No,3,8,5,9,25
9701,37,Adult/Dewasa (29-44),Bachelor/Diploma,Together,41883.0,<50K,1,0,13,32,34,41,73,16,116,312,0,0,0,0,0,0,No,3,4,2,3,12
9949,49,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,59809.0,50K-70K,0,2,36,598,16,141,32,41,49,877,0,0,0,0,0,0,No,3,3,3,6,15
10837,50,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,23957.0,<50K,1,0,47,2,1,18,20,11,16,68,0,0,0,0,0,1,Yes,1,2,0,3,6
3120,44,Adult/Dewasa (29-44),Bachelor/Diploma,Together,38547.0,<50K,1,0,49,6,1,10,0,1,4,22,0,0,0,0,0,0,No,1,1,0,2,4
5885,52,Middle-age/Paruh baya (45-59),Master,Married,35688.0,<50K,2,1,94,73,3,90,12,1,32,211,0,0,0,0,0,0,No,7,4,1,4,16
4050,59,Middle-age/Paruh baya (45-59),Master,Married,49605.0,<50K,0,0,65,42,16,29,12,20,8,127,0,0,0,0,0,0,No,1,2,1,4,8
3830,72,Elderly/Lansia (60+),Master,Married,59354.0,50K-70K,0,2,59,295,21,78,39,13,13,459,0,0,0,0,0,0,No,1,4,4,7,16
7987,56,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Married,65747.0,50K-70K,0,1,96,346,17,48,23,13,13,460,0,0,0,1,0,0,Yes,4,8,1,6,19
7798,53,Middle-age/Paruh baya (45-59),Master,Together,46344.0,<50K,0,1,28,233,20,57,8,20,91,429,0,0,0,0,0,0,No,4,7,1,5,17
92,37,Adult/Dewasa (29-44),Bachelor/Diploma,Single with Child,34176.0,<50K,1,0,12,5,7,24,19,14,20,89,0,0,0,0,0,0,No,4,3,0,4,11
7055,73,Elderly/Lansia (60+),PhD,Together,61010.0,50K-70K,0,1,57,888,0,57,0,0,76,1021,0,0,0,0,0,0,No,2,8,5,11,26
10240,76,Elderly/Lansia (60+),Bachelor/Diploma,Together,69372.0,50K-70K,0,0,10,997,26,269,34,13,42,1381,0,0,0,1,1,1,Yes,1,10,4,6,21
3025,67,Elderly/Lansia (60+),Bachelor/Diploma,Single with Child,49967.0,<50K,0,1,4,212,6,69,4,12,3,306,0,0,0,0,0,0,No,3,6,1,5,15
9283,47,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Single with Child,60199.0,50K-70K,1,2,49,8,1,7,2,0,0,18,0,0,0,0,0,0,No,1,0,0,3,4
9970,48,Middle-age/Paruh baya (45-59),Bachelor/Diploma,Together,55375.0,50K-70K,0,1,3,42,11,57,10,28,14,162,0,0,0,0,0,0,No,1,1,1,6,9
